"Station","DATE","LON","LAT","ELEV","Year","Month","Season","Tmin","Tmax","Avg.Temp","DTR","CLIMATE_ZONE","COASTAL_INDEX","Rain_Days","Rainfall","Wet_Day","Extreme_Event","Rain_Anomaly","RH","Humidity_Anomaly","DewPoint","Dewpoint_Depression","WindSpeed","Extreme_Wind","Wind_Anomaly","WindDirection","WindSector","Prevailing_Direction","Direction_Variability","Extreme_Shift","Wind_u","Wind_v","Solar_Radiation","Clear_Sky_Radiation","Cloud_Factor","Sunshine_Fraction","Radiation_Anomaly","Atmospheric_Pressure","VPD","ET0","Dryness_Index","Dryness_Class","ET_Anomaly"
"Station_1",2019-01-01,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",20.31,28.03,24.17,7.72,"Savannah",0.932,0,0,0,0,-1.08,53.05,-5.07,13.35,10.82,3.45,0,-3.87,148.59,"SE",180,60,0,-1.8,2.94,16.31,21.04,0.85,0.873991505064932,-3.08,96.4,1.42,5.88,0.82,"Very Dry",-1.2
"Station_1",2019-01-02,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",20.21,28.64,24.42,8.43,"Savannah",0.932,0,0,0,0,-1.08,52.75,-5.37,14.2,10.22,5.44,0,-1.87,140.34,"SE",180,60,0,-3.47,4.19,21.47,21.07,0.93,0.921208313971393,2.08,96.4,1.45,6.78,0.64,"Very Dry",-0.3
"Station_1",2019-01-03,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",21.91,29.66,25.78,7.75,"Savannah",0.932,0,0,0,0,-1.08,57.88,-0.23,16.23,9.55,5.98,0,-1.34,240.74,"SW",180,60,0,5.22,2.92,18.1,21.09,0.87,0.833744717438236,-1.29,96.4,1.4,7.05,0.73,"Very Dry",-0.03
"Station_1",2019-01-04,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",21.96,30.36,26.16,8.41,"Savannah",0.932,1,0.84,1,0,-0.24,58.04,-0.07,17.29,8.87,7.78,0,0.46,234.74,"SW",180,30,0,6.35,4.49,17.12,21.12,0.93,0.895680435877203,-2.27,96.4,1.42,6.77,0.79,"Very Dry",-0.31
"Station_1",2019-01-05,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",22.07,30.95,26.51,8.88,"Savannah",0.932,0,0,0,0,-1.08,57.92,-0.19,18.05,8.46,9.15,0,1.84,231.49,"SW",180,30,0,7.16,5.7,22.41,21.15,0.94,0.929827874219953,3.02,96.4,1.46,7.58,0.62,"Very Dry",0.5
"Station_1",2019-01-06,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",23.76,32.02,27.89,8.26,"Savannah",0.932,0,0,0,0,-1.08,62.81,4.7,20.03,7.86,9.67,0,2.35,276.37,"W",180,30,0,9.61,-1.07,16.35,21.18,0.81,0.845001102706383,-3.04,96.4,1.4,7.48,0.81,"Very Dry",0.4
"Station_1",2019-01-07,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",24.03,32.88,28.46,8.84,"Savannah",0.932,0,0,0,0,-1.08,63.22,5.11,21.25,7.21,11.42,0,4.1,276.98,"W",180,30,0,11.34,-1.39,19.08,21.21,0.88,0.898633940077224,-0.31,96.4,1.43,7.72,0.71,"Very Dry",0.64
"Station_1",2019-01-08,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",22.56,31.29,26.93,8.73,"Savannah",0.932,0,0,0,0,-1.08,58.41,0.3,18.43,8.5,8.5,0,1.19,225.79,"SW",180,30,0,6.09,5.93,22.52,21.24,0.94,0.963819862577276,3.13,96.4,1.48,7.25,0.63,"Very Dry",0.17
"Station_1",2019-01-09,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",21.82,30.8,26.31,8.97,"Savannah",0.932,1,2.04,1,0,0.96,56.52,-1.59,17.57,8.74,8.04,0,0.72,199.7,"S",180,30,0,2.71,7.57,19.78,21.28,0.87,0.868543319152758,0.39,96.4,1.49,6.94,0.72,"Very Dry",-0.14
"Station_1",2019-01-10,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",21.41,30.44,25.92,9.03,"Savannah",0.932,1,0.24,1,0,-0.84,54.93,-3.19,16.82,9.1,7.65,0,0.33,184.83,"S",180,30,0,0.64,7.62,18.9,21.32,0.87,0.825357783452336,-0.49,96.4,1.51,6.81,0.76,"Very Dry",-0.27
"Station_1",2019-01-11,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",22.71,31.57,27.14,8.87,"Savannah",0.932,0,0,0,0,-1.08,58.82,0.7,18.87,8.27,9.19,0,1.88,222.36,"SW",180,30,0,6.19,6.79,20.85,21.36,0.95,0.956261081955869,1.46,96.4,1.48,7.76,0.68,"Very Dry",0.68
"Station_1",2019-01-12,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",23.02,31.58,27.3,8.56,"Savannah",0.932,0,0,0,0,-1.08,59.62,1.51,18.93,8.37,8.63,0,1.31,228.41,"SW",180,30,0,6.45,5.73,18.11,21.4,0.87,0.863865764266712,-1.28,96.4,1.47,7.19,0.77,"Very Dry",0.11
"Station_1",2019-01-13,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",23.35,31.75,27.55,8.4,"Savannah",0.932,1,9.37,1,0,8.3,61.39,3.27,19.47,8.08,8.48,0,1.17,234.86,"SW",180,30,0,6.93,4.88,20.37,21.44,0.87,0.865337841836553,0.98,96.4,1.42,7.49,0.67,"Very Dry",0.41
"Station_1",2019-01-14,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",23.36,31.8,27.58,8.44,"Savannah",0.932,0,0,0,0,-1.08,60.3,2.19,19.25,8.33,8.44,0,1.13,231.7,"SW",180,30,0,6.62,5.23,19.69,21.48,0.89,0.95318020714523,0.3,96.4,1.46,7.34,0.71,"Very Dry",0.26
"Station_1",2019-01-15,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",22.71,31.26,26.99,8.55,"Savannah",0.932,1,6.94,1,0,5.86,59.03,0.92,18.47,8.52,7.67,0,0.35,209.1,"SW",180,30,0,3.73,6.7,16.46,21.52,0.79,0.81944248159329,-2.93,96.4,1.46,6.64,0.84,"Very Dry",-0.44
"Station_1",2019-01-16,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",24.48,32.4,28.44,7.92,"Savannah",0.932,0,0,0,0,-1.08,63.46,5.35,20.37,8.07,8.4,0,1.09,260.25,"W",180,30,0,8.28,1.42,19.7,21.57,0.93,0.927353559449654,0.3,96.4,1.42,7.88,0.68,"Very Dry",0.8
"Station_1",2019-01-17,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",24.79,32.85,28.82,8.07,"Savannah",0.932,1,4.46,1,0,3.39,64.76,6.65,21.21,7.61,9.04,0,1.72,265.12,"W",180,30,0,9.01,0.77,18.78,21.62,0.81,0.757632382090418,-0.61,96.4,1.4,7.55,0.71,"Very Dry",0.47
"Station_1",2019-01-18,-2.06211239937693,10.6811218280345,422.5,2019,1,"Dry",22.6,30.72,26.66,8.12,"Savannah",0.932,0,0,0,0,-1.08,57.23,-0.88,17.24,9.42,5.63,0,-1.68,136.4,"SE",180,60,0,-3.88,4.08,16.53,21.67,0.81,0.801925685907914,-2.86,96.4,1.49,6.09,0.85,"Very Dry",-0.99
